Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
40,0,19.9633333333333,45.2,19.29,44.76,20.4633333333333,44.26
50,0,21.5,37.03,20.43,38.0666666666667,22.7,35.59
80,20,22.066666666666695,41.8633333333333,21.1,41.4333333333333,21.6,43.4666666666667
40,0,20.4266666666667,40.5666666666667,18.79,40.29,20.29,40.5
40,0,21.7,42.1633333333333,20.9175,41.2225,20.79,44.53
100,10,21.39,38.4985714285714,19.29,39.4,21.79,37.09
70,0,22.39,37.2,20.29,39.09,23.5,37.79
70,0,22.7,42.1633333333333,20.39,44.73,23.89,39.4333333333333
50,0,22.6666666666667,39.56,21.7,39.2,21.29,43.6266666666667
80,0,20.1666666666667,39.7666666666667,18.29,40.3266666666667,20.2,39.2
50,0,18.6,43.4,17.7,44.1266666666667,19.39,42.6266666666667
40,30,22.2,44.6633333333333,20.89,44.5,21.89,44.1633333333333
80,0,21.1,34.23,19.6666666666667,34.26,20.29,35.0
50,0,19.7,38.06,17.2,41.0,21.066666666666695,37.6633333333333
70,0,21.29,37.09,20.29,35.8633333333333,20.65,37.4
120,0,22.89,38.56,22.3628571428571,37.5542857142857,24.62,37.09
70,10,20.76,37.0,18.5,40.0,21.89,34.5
40,0,20.89,36.79,19.945,36.645,21.79,35.09
90,10,22.9633333333333,46.3266666666667,21.9633333333333,45.3266666666667,21.89,46.7
390,0,21.7,33.7966666666667,19.6,33.9,22.663333333333295,36.2333333333333
60,0,22.5,44.09,20.1,47.1266666666667,24.7,40.9333333333333
100,0,22.89,36.53,20.29,37.6633333333333,23.6,33.7
130,20,22.79,39.69333333333329,21.1666666666667,40.09666666666671,22.6,37.9666666666667
50,0,20.89,41.79,19.1,44.4,21.5,38.8266666666667
70,0,24.2,41.6266666666667,25.39,36.29,26.2,37.23
70,0,21.1,39.59,20.29,40.03,21.89,37.5
40,0,22.2,41.5,19.6666666666667,44.2,24.39,39.7
80,0,21.73,35.4333333333333,18.89,37.9,22.566666666666695,34.26
110,20,21.7,45.43,20.2,45.6333333333333,21.73,42.7
80,0,22.29,44.0,21.8566666666667,43.09,22.7,41.4333333333333
90,0,22.0,41.83333333333329,20.89,42.29,23.3566666666667,38.29
250,10,19.6,41.59,19.1333333333333,40.9,19.2,42.8633333333333
100,0,21.2,44.93,20.39,42.7,21.6,43.76
70,0,17.39,36.6266666666667,16.39,36.8266666666667,17.89,37.4666666666667
70,0,21.7,35.3633333333333,18.79,38.06,22.6,34.3633333333333
120,0,23.1,38.6266666666667,22.6333333333333,36.5,23.1,36.76
40,0,19.2,38.7,18.39,38.2,18.79,39.79
60,0,22.1,36.8057142857143,20.1571428571429,37.2257142857143,20.7675,37.9
110,0,25.29,48.5,24.5,47.476,26.042857142857095,44.0685714285714
110,0,22.79,37.05,22.39,36.53,23.36,35.7266666666667
50,0,19.29,37.8633333333333,17.6,39.4333333333333,20.5,37.4
80,0,21.89,41.09,20.4266666666667,42.2,22.9266666666667,38.5
50,0,22.9266666666667,41.23,22.3266666666667,41.29,24.29,38.5
40,0,22.29,43.4333333333333,21.566666666666695,43.09,21.79,44.7
90,0,22.29,34.6,22.4666666666667,32.1,23.73,35.4
40,0,21.2,44.5266666666667,20.5,42.53,21.5333333333333,43.59
100,0,21.5,40.5,19.1333333333333,44.1633333333333,22.5,38.29
100,10,20.79,39.3,19.5,37.36,20.7,36.26
80,0,20.79,38.1633333333333,19.7,38.06,20.7,39.0266666666667
330,20,24.79,48.76,25.014,46.34,26.8,44.2666666666667
50,0,22.6,35.29,20.0,37.1266666666667,23.1,36.79
40,0,23.7,35.29,20.5,38.018,24.254,36.076
50,0,20.2,36.4633333333333,16.55,41.8266666666667,20.4266666666667,37.59
40,0,21.26,37.8633333333333,18.29,40.0,21.79,36.29
60,0,21.1666666666667,40.03,20.1333333333333,40.56,21.79,37.79
50,0,20.6,40.29,17.39,46.5,21.0,38.29
50,0,24.1376623376623,39.0492207792208,23.1746103896104,37.9831168831169,24.9044155844156,37.6577922077922
130,0,20.1,37.8266666666667,19.93,36.59,20.0,36.23
40,0,18.89,44.2,18.245,44.0,19.89,45.09
40,10,20.79,40.2,19.2,41.59,20.6,38.53
390,0,20.5,42.8266666666667,18.89,43.86,21.29,41.56
120,0,21.5,41.0666666666667,19.76,44.19333333333329,22.39,38.09
50,0,20.39,36.9,17.29,40.8633333333333,20.2,37.045
50,0,20.675,41.0675,19.9266666666667,40.2,20.89,41.8633333333333
50,0,24.89,47.56,23.29,48.7,26.5571428571429,43.5
110,10,23.5,48.2333333333333,21.1,43.595,25.6,38.23
50,0,20.6,41.79,19.79,40.2,20.79,41.4666666666667
50,0,21.6,38.79,19.2,41.76,22.5,38.1266666666667
90,0,22.29,39.5,20.6,40.7,22.23,37.9333333333333
40,0,20.6,36.79,18.79,37.1266666666667,20.5,37.26
210,10,20.26,38.6333333333333,19.76,34.1266666666667,19.76,35.7
50,0,21.0,43.4666666666667,19.79,42.16,21.1333333333333,40.79
300,20,21.0333333333333,45.6233333333333,20.3566666666667,43.23,22.745,45.46
40,10,20.7,38.2,18.39,39.79,21.0,40.2
80,10,21.39,45.03,20.79,43.8266666666667,21.0,46.6633333333333
120,10,22.79,37.76,21.23,37.03,22.7,36.9
110,30,22.29,40.1266666666667,20.89,37.8633333333333,22.3233333333333,37.0
100,0,21.7,36.29,19.29,38.9,20.29,36.475
50,0,21.0,39.5,19.9633333333333,40.73,21.79,37.4
50,0,21.2,38.2233333333333,18.2,42.6266666666667,22.0,36.59
60,0,20.0,35.0,17.5,36.1333333333333,20.2257142857143,37.1785714285714
50,0,19.39,42.09,18.8233333333333,41.23,20.6,44.23
60,0,22.6666666666667,41.3633333333333,20.8566666666667,42.8633333333333,23.39,39.79
180,20,21.5,46.3,20.6333333333333,44.8266666666667,21.5,43.2
50,0,19.3566666666667,46.33333333333329,19.2,45.1566666666667,19.79,44.7
100,0,22.89,47.05666666666671,21.6,43.9666666666667,24.2,38.23
30,0,19.5,42.0,19.0,40.93,21.2,45.59666666666671
90,0,25.5,32.43,27.1,27.7633333333333,25.1,36.26
280,20,21.0,40.4,19.1,41.06,21.0,40.09
130,0,24.4532467532468,37.2644155844156,23.6322077922078,34.8623376623377,24.8483116883117,36.6058441558442
80,0,23.0,35.1633333333333,21.29,33.6566666666667,23.73,33.29
50,10,22.1,39.5266666666667,20.2,38.1566666666667,22.1,37.26
20,0,21.0,45.79,20.4266666666667,43.9,22.23,45.1566666666667
50,0,20.3233333333333,39.2,19.066666666666695,39.3633333333333,19.89,40.29
40,0,21.2,38.29,18.5333333333333,41.4,23.2,36.29
50,0,24.89,47.5,22.89,49.2,26.6,44.59
140,0,21.1,33.6933333333333,20.0333333333333,31.6966666666667,21.5,34.5966666666667
240,10,22.1,34.43,20.1,33.36,23.6333333333333,35.89
50,0,24.1,40.4,21.7,42.29,25.39,39.7
90,20,22.1,37.59,20.5,37.9333333333333,21.5,38.56
320,20,22.445,40.895,21.2,38.495,22.79,37.9
400,0,20.3566666666667,45.06,20.1,43.76,20.0333333333333,45.59
230,30,21.89,44.3633333333333,20.7,43.3266666666667,23.3733333333333,46.4066666666667
90,0,21.1,39.9666666666667,18.0,44.7666666666667,22.5,38.5266666666667
80,0,22.0333333333333,41.2933333333333,21.1,40.23,23.0285714285714,42.2857142857143
40,0,19.79,45.2,19.0333333333333,44.59,20.39,44.06
40,10,21.8566666666667,47.06,21.0,46.545,21.73,46.4
70,0,21.5,40.4,18.9633333333333,44.2,22.6,38.4
60,30,21.55,41.45,19.0,45.4666666666667,20.89,38.9
40,0,20.89,36.5642857142857,18.89,38.09,21.0,38.6685714285714
40,0,19.6666666666667,36.6333333333333,17.7,37.7,20.5,37.5
210,10,21.0,41.212,19.2,41.2,20.9633333333333,40.26
60,0,22.0,41.9,21.2,40.45,22.65,43.345
60,0,22.73,35.8633333333333,23.5,32.53,22.89,35.9333333333333
180,30,19.1,44.7233333333333,18.5,43.76,19.26,43.6633333333333
120,10,21.2,41.86,19.4266666666667,42.6266666666667,21.1,40.4
40,0,22.2,43.4333333333333,21.5,43.2,21.8233333333333,44.73
120,0,21.6333333333333,46.8933333333333,19.6,41.76,20.96,40.06
80,0,22.7,42.5,23.26,39.2,22.6,40.76
70,0,21.89,36.8,18.79,40.09,23.0,36.2
120,0,23.0,41.4566666666667,20.6666666666667,41.2333333333333,22.8233333333333,37.53
50,0,23.1,41.2,21.3328571428571,42.0,24.6,39.7
50,10,21.5,45.03,20.89,44.3266666666667,20.7,45.79
20,0,21.1333333333333,35.4666666666667,18.1,39.0,20.3233333333333,36.9
100,0,22.89,42.95,20.89,44.79,24.1,39.2
40,0,22.1,40.9,18.89,46.2,24.1,39.2
60,0,20.39,44.0,20.0,43.2,20.1,43.8266666666667
50,0,22.2,34.29,20.1333333333333,35.6333333333333,22.89,36.1633333333333
30,0,19.76,46.0,18.9266666666667,45.59,19.89,45.2
70,20,20.7,44.53,19.79,42.4,21.29,42.525
70,20,22.79,43.5,22.0333333333333,42.4333333333333,22.1,44.2
440,0,24.383116883116905,37.661038961039,23.5305194805195,35.5558441558442,24.8607792207792,36.8396103896104
60,20,21.6,37.7,18.9633333333333,39.76,21.7,36.4
50,0,18.79,37.9,16.79,40.09,20.2,37.9666666666667
90,10,22.1333333333333,43.9966666666667,20.39,41.99,21.4633333333333,41.0266666666667
60,0,20.9266666666667,41.59,19.1,44.1266666666667,21.5,38.79
50,0,20.79,40.09,19.0,41.59,21.39,40.79
40,0,19.8566666666667,41.3633333333333,18.2,41.59,19.89,40.79
90,0,22.6666666666667,39.9666666666667,21.8233333333333,39.7,22.06,40.156
50,0,21.6,37.09,18.89,40.2,22.89,37.2
180,0,20.29,38.6333333333333,18.1333333333333,40.06,20.5333333333333,39.03
90,0,21.6714285714286,38.1214285714286,20.0,37.3214285714286,20.8185714285714,37.4285714285714
90,0,21.1,40.0266666666667,21.445,37.145,21.865,38.0925
60,0,22.0,36.0,19.39,38.3633333333333,21.8233333333333,35.5666666666667
130,0,21.39,43.4666666666667,21.125,41.3725,21.0,42.2
370,30,23.3566666666667,53.4933333333333,23.0333333333333,39.86,25.1333333333333,43.5
50,10,18.9266666666667,39.4,17.0,41.2,19.89,37.4333333333333
50,0,20.79,41.495,17.9266666666667,45.86,22.76,38.76
100,0,22.6666666666667,57.4966666666667,21.29,56.0266666666667,24.89,40.49
50,0,22.0,40.6266666666667,19.5,44.06,22.89,39.7
70,0,20.6,41.6233333333333,19.26,39.49,22.1,40.0333333333333
50,0,22.5,39.045,20.29,40.03,24.9266666666667,36.4
70,10,19.6333333333333,45.0,19.29,44.1266666666667,19.5,43.9333333333333
80,0,23.0,34.9333333333333,23.1,32.76,23.1,35.4333333333333
60,0,24.23,39.23,23.0966666666667,39.2666666666667,26.0,37.29
90,10,21.23,37.23,19.1333333333333,39.26,21.7,37.2
60,0,21.8566666666667,34.7,19.79,35.1266666666667,20.5,36.6633333333333
90,0,23.5,35.0,23.29,32.59,24.2,34.2
50,0,22.6,38.1633333333333,24.8566666666667,32.29,23.2,37.59
30,0,21.7,38.6633333333333,19.3566666666667,41.1266666666667,22.6,38.0
110,0,20.7,36.4566666666667,18.0,39.7,22.0,36.7
60,0,24.1,47.79,21.79,50.7,25.39,42.73
60,10,20.0,38.5266666666667,18.245,36.845,20.29,35.0
60,0,25.29,39.59,23.29,40.76,25.89,34.536
50,0,20.73,41.9,19.7,42.26,21.2,41.03
90,0,21.1333333333333,33.86,19.7,32.4666666666667,23.73,36.8
50,20,22.0,38.6633333333333,18.566666666666695,42.59,22.4266666666667,37.79
80,0,22.2,37.73,19.2,41.9,23.3233333333333,38.79
80,0,22.0,43.1266666666667,20.29,46.46,23.29,38.79
80,10,22.2,43.4333333333333,20.0,45.8266666666667,23.8566666666667,39.4666666666667
230,0,21.066666666666695,38.79,21.0,35.86,21.5333333333333,36.3633333333333
50,0,20.79,37.59,17.5,41.6333333333333,21.6,35.5
110,0,20.79,44.2233333333333,20.5,43.06,20.2,44.79
60,0,22.39,38.56,22.6333333333333,36.59,22.3566666666667,37.9
310,0,23.0,43.53,22.2,41.1633333333333,23.39,39.3633333333333
140,0,21.23,35.5,19.5,37.0,20.29,35.4
300,40,24.0,47.05,23.1,44.36,24.2,45.79
70,0,24.2,41.6266666666667,25.7,35.46,26.5,37.56
50,0,22.89,39.4333333333333,21.89,39.1266666666667,21.29,43.59
140,20,23.5,35.0,22.5,33.812,24.29,35.09
40,0,19.0,42.09,18.39,41.29,19.89,43.2
50,0,23.1,45.29,21.5,46.9,24.89,42.09
50,0,22.8566666666667,39.3633333333333,20.7,39.9333333333333,24.5,37.7257142857143
50,0,22.6333333333333,41.03,19.6,45.545,24.29,38.79
50,0,21.6,43.29,20.29,43.59,21.89,42.0
60,0,21.39,38.29,19.5,38.7,21.0,39.4
50,0,20.8566666666667,36.8633333333333,19.7,37.3266666666667,21.79,35.09
50,0,19.7,37.2,17.29,39.8266666666667,20.0333333333333,38.8266666666667
80,0,21.7,34.8333333333333,20.29,34.5133333333333,21.0,36.4
50,0,21.6,35.2,18.1,39.79,21.6,36.0
50,0,23.5,38.9,20.7,42.1633333333333,24.65,36.95
50,0,20.79,35.5,17.29,39.7,20.2,36.76
40,0,21.79,37.76,23.1,34.5,22.79,35.79
100,10,25.79,38.73,24.6,38.0666666666667,26.754,34.4
80,10,20.7,35.9,21.8666666666667,33.6233333333333,21.4633333333333,34.7
400,20,22.26,46.9633333333333,21.29,46.0666666666667,21.89,45.5666666666667
50,0,20.29,35.1633333333333,18.29,35.9333333333333,20.7,36.5
70,20,25.1,44.7,23.2,44.59,25.7,41.79
110,20,21.79,43.56,20.4725,44.2675,21.6,42.4
280,0,20.2,37.4633333333333,16.6,42.7666666666667,20.39,37.5
50,0,22.2,39.09,19.6,42.03,22.73,38.79
60,0,21.0,35.4,17.7,39.59,22.6,35.09
80,10,20.89,44.3633333333333,20.1,44.0,21.7,44.29
70,10,21.79,44.19333333333329,20.8233333333333,43.6633333333333,21.39,43.7666666666667
100,0,20.8566666666667,40.56,19.6666666666667,41.06,21.1,39.53
60,0,23.7,39.09,22.7,39.09,21.2,43.3633333333333
90,0,22.0,40.33333333333329,21.73,38.6633333333333,22.29,38.7
50,0,20.5333333333333,37.7,17.7,40.7,20.1,38.09
60,30,25.066666666666695,44.7,23.1333333333333,44.6633333333333,25.7,41.79
110,40,20.2,40.53,18.39,41.1266666666667,21.0,39.73
50,0,22.7,45.7,21.79,44.76,23.29,45.5
90,10,20.79,35.3266666666667,19.39,34.3333333333333,20.79,35.0
60,0,20.2,36.9666666666667,18.0,39.4,22.5,34.09
60,0,24.79,47.79,24.6,46.09,26.0,43.79
60,0,20.9633333333333,43.8666666666667,20.26,40.1266666666667,22.39,44.9
50,10,19.5,40.6266666666667,18.0,40.73,20.1,40.1566666666667
40,0,19.6,45.0,18.8233333333333,44.53,19.79,44.53
90,0,19.3566666666667,45.4633333333333,19.025,44.4725,19.26,43.93
60,0,21.89,37.9,23.3566666666667,34.2,22.7,35.9666666666667
420,10,21.29,34.4,19.5,33.3333333333333,23.2,34.76
40,0,22.39,37.7,19.29,41.9,23.39,38.79
90,10,22.3566666666667,45.63,20.4541666666667,42.3416666666667,21.0,40.73
70,20,21.5,38.4,20.6,37.79,20.7,41.425
50,0,22.6,41.0,19.566666666666695,45.6266666666667,24.23,38.73
100,10,21.5,36.59,18.79,38.9633333333333,23.066666666666695,34.4666666666667
220,0,23.9434285714286,49.3637142857143,25.1,43.5009523809524,26.163619047619,43.4352380952381
110,10,24.8309090909091,47.3088181818182,24.8603603603604,43.9035435435435,26.5211818181818,42.1209090909091
110,20,22.89,34.1633333333333,20.2,36.09,21.79,35.0
30,0,20.6,43.1266666666667,18.8566666666667,44.33333333333329,21.39,41.9333333333333
140,10,24.39,38.63,23.79,36.7233333333333,25.2,38.76
470,0,24.39,43.7566666666667,25.39,37.134,26.163333333333295,38.0666666666667
50,0,23.79,40.29,21.1666666666667,42.79,25.39,39.9
620,0,24.39,44.33333333333329,25.37,37.736,26.73,38.8633333333333
40,10,19.6666666666667,40.9666666666667,17.8566666666667,41.8633333333333,20.29,40.6266666666667
120,0,21.6,37.36,19.9633333333333,38.5666666666667,23.3566666666667,38.1333333333333
30,0,19.29,46.59,18.6,46.5,19.79,45.2
30,0,18.5,38.76,17.39,38.53,18.89,39.69333333333329
90,0,22.2,39.56,20.7,37.7,22.29,37.09
350,10,21.1333333333333,35.99,19.566666666666695,35.4,20.2,34.53
150,0,23.066666666666695,38.56,22.3566666666667,36.8266666666667,23.1,36.8633333333333
30,0,20.3233333333333,39.5,18.0333333333333,41.03,21.2,40.59
50,0,19.5,37.2,16.29,41.1633333333333,20.2,37.345
50,0,23.26,40.09,22.39,39.6633333333333,21.566666666666695,43.0
70,30,22.29,42.0,21.5,41.06,21.7,43.06
50,0,20.6,40.99,19.73,39.3266666666667,21.0,39.8633333333333
60,0,20.89,36.0,18.2,39.06,21.0,35.4
110,0,25.0,31.8666666666667,23.89,29.7,23.4633333333333,30.1333333333333
70,10,20.0,34.89,17.5,35.9333333333333,20.39,37.83333333333329
90,20,20.5333333333333,37.3266666666667,18.7,40.2333333333333,21.3233333333333,35.03
30,0,19.89,37.3266666666667,17.2,40.7,20.89,38.0
40,0,22.29,35.29,18.8233333333333,38.73,21.39,35.5
50,0,20.89,37.09,21.29,35.7233333333333,21.8566666666667,35.09
80,0,22.23,36.39,20.815,37.1725,22.7,36.19333333333329
80,0,17.89,35.8633333333333,16.76,37.2,18.29,37.5
40,0,22.0,38.09,20.2,39.1266666666667,22.39,37.5
100,20,21.79,38.2666666666667,20.7,38.23,21.79,37.29
40,0,19.4266666666667,46.29,18.6666666666667,46.26,19.79,45.1266666666667
70,0,21.3233333333333,35.2,20.5,34.09,20.29,36.0
50,0,24.5,39.0,22.79,39.4,25.6333333333333,38.79
40,0,18.79,46.29,18.29,46.0,19.6,44.4666666666667
70,20,22.6,43.7,20.89,44.03,23.2,40.6266666666667
290,0,21.39,37.8266666666667,20.2,38.1633333333333,23.8266666666667,40.49
250,0,25.3233333333333,47.93,26.6,41.0128571428571,28.2,42.09
390,0,19.79,38.29,18.066666666666695,39.7,21.663333333333295,37.7666666666667
30,0,19.6666666666667,45.06,18.89,44.6266666666667,20.3566666666667,43.8633333333333
70,0,19.7,36.29,17.7,38.4666666666667,20.2,35.7
60,0,24.79,50.36,27.39,44.38,25.12,46.86
120,30,23.29,40.39,22.1,38.6266666666667,22.79,45.0
50,0,20.39,39.5,18.2,41.03,21.2,40.6633333333333
60,0,20.89,42.0,19.1,44.59,21.6,39.0
60,0,24.89,47.4,23.1333333333333,48.7,26.5,41.7514285714286
60,0,21.29,37.6566666666667,19.3233333333333,39.53,21.79,36.76
70,20,18.4266666666667,43.3266666666667,17.79,42.23,19.29,42.4
230,30,20.79,44.5,20.2,42.3633333333333,21.6,44.772
160,0,21.0,38.8266666666667,19.23,40.23,21.6,37.2
90,10,22.1,42.3633333333333,21.566666666666695,39.36,22.5333333333333,43.7666666666667
90,0,21.0,36.5,19.7,35.9666666666667,20.5,37.23
50,20,21.1,45.7666666666667,20.39,43.79,21.9266666666667,44.5
330,0,20.7,35.53,16.79,42.1266666666667,21.6666666666667,35.6966666666667
80,0,19.5333333333333,40.9333333333333,17.7,42.0666666666667,20.2,40.56
400,20,22.2,37.7,21.1,37.06,23.32,37.4975
60,0,24.26,44.76,21.8566666666667,46.76,25.89,42.29
100,0,25.1,38.9666666666667,24.566666666666695,37.6266666666667,25.39,37.09
80,0,22.2,38.29,19.76,40.9333333333333,22.89,38.045
